refnis,lat,lon,municipality,province,region
11001,51.13183,4.38252,Aartselaar,Antwerp,Flanders
11002,51.26078,4.36949,Antwerpen,Antwerp,Flanders
11004,51.16568,4.51688,Boechout,Antwerp,Flanders
11005,51.09356,4.37292,Boom,Antwerp,Flanders
11008,51.30951,4.50042,Brasschaat,Antwerp,Flanders
11009,51.33594,4.6282,Brecht,Antwerp,Flanders
11013,51.15624,4.43284,Edegem,Antwerp,Flanders
11016,51.4495,4.46589,Essen,Antwerp,Flanders
11018,51.14373,4.3402,Hemiksem,Antwerp,Flanders
11021,51.14721,4.4823,Hove,Antwerp,Flanders
11022,51.39886,4.46869,Kalmthout,Antwerp,Flanders
11023,51.33395,4.44379,Kapellen,Antwerp,Flanders
11024,51.12369,4.44455,Kontich,Antwerp,Flanders
11025,51.1277,4.49781,Lint,Antwerp,Flanders
11029,51.17465,4.46104,Mortsel,Antwerp,Flanders
11030,51.1073,4.33544,Niel,Antwerp,Flanders
11035,51.1928,4.59063,Ranst,Antwerp,Flanders
11037,51.09382,4.42111,Rumst,Antwerp,Flanders
11038,51.12266,4.34243,Schelle,Antwerp,Flanders
11039,51.25617,4.58148,Schilde,Antwerp,Flanders
11040,51.26417,4.50822,Schoten,Antwerp,Flanders
11044,51.32859,4.37674,Stabroek,Antwerp,Flanders
11050,51.22957,4.5169,Wijnegem,Antwerp,Flanders
11052,51.20677,4.51894,Wommelgem,Antwerp,Flanders
11053,51.39405,4.60037,Wuustwezel,Antwerp,Flanders
11054,51.2113,4.67923,Zandhoven,Antwerp,Flanders
11055,51.25756,4.66982,Zoersel,Antwerp,Flanders
11057,51.29326,4.7135,Malle,Antwerp,Flanders
12002,51.10716,4.65614,Berlaar,Antwerp,Flanders
12005,51.02082,4.57073,Bonheiden,Antwerp,Flanders
12007,51.09519,4.24254,Bornem,Antwerp,Flanders
12009,51.09572,4.51414,Duffel,Antwerp,Flanders
12014,51.07164,4.73604,Heist-op-den-Berg,Antwerp,Flanders
12021,51.11836,4.57389,Lier,Antwerp,Flanders
12025,51.02866,4.45023,Mechelen,Antwerp,Flanders
12026,51.15089,4.66359,Nijlen,Antwerp,Flanders
12029,51.05068,4.63637,Putte,Antwerp,Flanders
12035,51.0624,4.53631,Sint-Katelijne-Waver,Antwerp,Flanders
