refnis,postal_code,municipality_fr,municipality_nl,province,region
11001,2630,Aartselaar,Aartselaar,Antwerp,Flanders
11002,2000,Anvers,Antwerpen,Antwerp,Flanders
11002,2018,Anvers,Antwerpen,Antwerp,Flanders
11002,2020,Anvers,Antwerpen,Antwerp,Flanders
11002,2030,Anvers,Antwerpen,Antwerp,Flanders
11002,2040,Anvers,Antwerpen,Antwerp,Flanders
11002,2050,Anvers,Antwerpen,Antwerp,Flanders
11002,2060,Anvers,Antwerpen,Antwerp,Flanders
11002,2100,Anvers,Antwerpen,Antwerp,Flanders
11002,2140,Anvers,Antwerpen,Antwerp,Flanders
11002,2150,Anvers,Antwerpen,Antwerp,Flanders
11002,2170,Anvers,Antwerpen,Antwerp,Flanders
11002,2180,Anvers,Antwerpen,Antwerp,Flanders
11002,2600,Anvers,Antwerpen,Antwerp,Flanders
11002,2610,Anvers,Antwerpen,Antwerp,Flanders
11002,2660,Anvers,Antwerpen,Antwerp,Flanders
11004,2530,Boechout,Boechout,Antwerp,Flanders
11004,2531,Boechout,Boechout,Antwerp,Flanders
11005,2850,Boom,Boom,Antwerp,Flanders
11008,2930,Brasschaat,Brasschaat,Antwerp,Flanders
11009,2960,Brecht,Brecht,Antwerp,Flanders
11013,2650,Edegem,Edegem,Antwerp,Flanders
11016,2910,Essen,Essen,Antwerp,Flanders
11018,2620,Hemiksem,Hemiksem,Antwerp,Flanders
11021,2540,Hove,Hove,Antwerp,Flanders
11022,2920,Kalmthout,Kalmthout,Antwerp,Flanders
11023,2950,Kapellen,Kapellen,Antwerp,Flanders
11024,2550,Kontich,Kontich,Antwerp,Flanders
11025,2547,Lint,Lint,Antwerp,Flanders
11029,2640,Mortsel,Mortsel,Antwerp,Flanders
11030,2845,Niel,Niel,Antwerp,Flanders
11035,2520,Ranst,Ranst,Antwerp,Flanders
11037,2840,Rumst,Rumst,Antwerp,Flanders
11038,2627,Schelle,Schelle,Antwerp,Flanders
11039,2970,Schilde,Schilde,Antwerp,Flanders
11040,2900,Schoten,Schoten,Antwerp,Flanders
11044,2940,Stabroek,Stabroek,Antwerp,Flanders
11050,2110,Wijnegem,Wijnegem,Antwerp,Flanders
11052,2160,Wommelgem,Wommelgem,Antwerp,Flanders
11053,2990,Wuustwezel,Wuustwezel,Antwerp,Flanders
11054,2240,Zandhoven,Zandhoven,Antwerp,Flanders
11054,2242,Zandhoven,Zandhoven,Antwerp,Flanders
11054,2243,Zandhoven,Zandhoven,Antwerp,Flanders
11055,2980,Zoersel,Zoersel,Antwerp,Flanders
11057,2390,Malle,Malle,Antwerp,Flanders
12002,2590,Berlaar,Berlaar,Antwerp,Flanders
12005,2820,Bonheiden,Bonheiden,Antwerp,Flanders
12007,2880,Bornem,Bornem,Antwerp,Flanders
12009,2570,Duffel,Duffel,Antwerp,Flanders
12014,2220,Heist-op-den-Berg,Heist-op-den-Berg,Antwerp,Flanders
12014,2221,Heist-op-den-Berg,Heist-op-den-Berg,Antwerp,Flanders
12014,2222,Heist-op-den-Berg,Heist-op-den-Berg,Antwerp,Flanders
12014,2223,Heist-op-den-Berg,Heist-op-den-Berg,Antwerp,Flanders
12021,2500,Lierre,Lier,Antwerp,Flanders
12025,2800,Malines,Mechelen,Antwerp,Flanders
12025,2801,Malines,Mechelen,Antwerp,Flanders
12025,2811,Malines,Mechelen,Antwerp,Flanders
12025,2812,Malines,Mechelen,Antwerp,Flanders
12026,2560,Nijlen,Nijlen,Antwerp,Flanders
12029,2580,Putte,Putte,Antwerp,Flanders
12035,2860,Sint-Katelijne-Waver,Sint-Katelijne-Waver,Antwerp,Flanders
12035,2861,Sint-Katelijne-Waver,Sint-Katelijne-Waver,Antwerp,Flanders
12040,2830,Willebroek,Willebroek,Antwerp,Flanders
12041,2870,Puurs-Sint-Amands,Puurs-Sint-Amands,Antwerp,Flanders
12041,2890,Puurs-Sint-Amands,Puurs-Sint-Amands,Antwerp,Flanders
13001,2370,Arendonk,Arendonk,Antwerp,Flanders
13002,2387,Baerle-Duc,Baarle-Hertog,Antwerp,Flanders
13003,2490,Balen,Balen,Antwerp,Flanders
13003,2491,Balen,Balen,Antwerp,Flanders
13004,2340,Beerse,Beerse,Antwerp,Flanders
13006,2480,Dessel,Dessel,Antwerp,Flanders
13008,2440,Geel,Geel,Antwerp,Flanders
13010,2280,Grobbendonk,Grobbendonk,Antwerp,Flanders
13010,2288,Grobbendonk,Grobbendonk,Antwerp,Flanders
13011,2200,Herentals,Herentals,Antwerp,Flanders
13012,2270,Herenthout,Herenthout,Antwerp,Flanders
13013,2230,Herselt,Herselt,Antwerp,Flanders
13014,2320,Hoogstraten,Hoogstraten,Antwerp,Flanders
13014,2321,Hoogstraten,Hoogstraten,Antwerp,Flanders
13014,2322,Hoogstraten,Hoogstraten,Antwerp,Flanders
13014,2323,Hoogstraten,Hoogstraten,Antwerp,Flanders
13014,2328,Hoogstraten,Hoogstraten,Antwerp,Flanders
13016,2235,Hulshout,Hulshout,Antwerp,Flanders
13017,2460,Kasterlee,Kasterlee,Antwerp,Flanders
13019,2275,Lille,Lille,Antwerp,Flanders
13021,2450,Meerhout,Meerhout,Antwerp,Flanders
13023,2330,Merksplas,Merksplas,Antwerp,Flanders
13025,2400,Mol,Mol,Antwerp,Flanders
13029,2250,Olen,Olen,Antwerp,Flanders
13031,2360,Oud-Turnhout,Oud-Turnhout,Antwerp,Flanders
13035,2380,Ravels,Ravels,Antwerp,Flanders
13035,2381,Ravels,Ravels,Antwerp,Flanders
13035,2382,Ravels,Ravels,Antwerp,Flanders
13036,2470,Retie,Retie,Antwerp,Flanders
13037,2310,Rijkevorsel,Rijkevorsel,Antwerp,Flanders
