refnis,postal_code_main,n_postal_codes,municipality,province,region,year,property_type,median_price_eur,n_transactions,n_quarters
21001,1070,1,ANDERLECHT,Brussels-Capital,Brussels,2010,apartments,129525,568,4
21001,1070,1,ANDERLECHT,Brussels-Capital,Brussels,2011,apartments,130534,602,4
21001,1070,1,ANDERLECHT,Brussels-Capital,Brussels,2012,apartments,133829,631,4
21001,1070,1,ANDERLECHT,Brussels-Capital,Brussels,2013,apartments,134295,563,4
21001,1070,1,ANDERLECHT,Brussels-Capital,Brussels,2014,apartments,132994,575,4
21001,1070,1,ANDERLECHT,Brussels-Capital,Brussels,2015,apartments,135450,567,4
21001,1070,1,ANDERLECHT,Brussels-Capital,Brussels,2016,apartments,136649,564,4
21001,1070,1,ANDERLECHT,Brussels-Capital,Brussels,2017,apartments,149391,661,4
21001,1070,1,ANDERLECHT,Brussels-Capital,Brussels,2018,apartments,146991,688,4
21001,1070,1,ANDERLECHT,Brussels-Capital,Brussels,2019,apartments,149944,852,4
21001,1070,1,ANDERLECHT,Brussels-Capital,Brussels,2020,apartments,169635,685,4
21001,1070,1,ANDERLECHT,Brussels-Capital,Brussels,2021,apartments,183083,770,4
21001,1070,1,ANDERLECHT,Brussels-Capital,Brussels,2022,apartments,188972,739,4
21001,1070,1,ANDERLECHT,Brussels-Capital,Brussels,2023,apartments,198411,771,4
21001,1070,1,ANDERLECHT,Brussels-Capital,Brussels,2024,apartments,198441,675,4
21001,1070,1,ANDERLECHT,Brussels-Capital,Brussels,2025,apartments,210647,928,4
21001,1070,1,ANDERLECHT,Brussels-Capital,Brussels,2010,houses_all,231386,207,4
21001,1070,1,ANDERLECHT,Brussels-Capital,Brussels,2011,houses_all,238720,200,4
21001,1070,1,ANDERLECHT,Brussels-Capital,Brussels,2012,houses_all,253628,218,4
21001,1070,1,ANDERLECHT,Brussels-Capital,Brussels,2013,houses_all,243920,188,4
21001,1070,1,ANDERLECHT,Brussels-Capital,Brussels,2014,houses_all,245119,202,4
21001,1070,1,ANDERLECHT,Brussels-Capital,Brussels,2015,houses_all,256719,192,4
21001,1070,1,ANDERLECHT,Brussels-Capital,Brussels,2016,houses_all,264354,195,4
21001,1070,1,ANDERLECHT,Brussels-Capital,Brussels,2017,houses_all,262005,216,4
21001,1070,1,ANDERLECHT,Brussels-Capital,Brussels,2018,houses_all,266950,220,4
21001,1070,1,ANDERLECHT,Brussels-Capital,Brussels,2019,houses_all,287795,254,4
21001,1070,1,ANDERLECHT,Brussels-Capital,Brussels,2020,houses_all,302405,174,4
21001,1070,1,ANDERLECHT,Brussels-Capital,Brussels,2021,houses_all,330116,233,4
21001,1070,1,ANDERLECHT,Brussels-Capital,Brussels,2022,houses_all,331236,191,4
21001,1070,1,ANDERLECHT,Brussels-Capital,Brussels,2023,houses_all,343360,203,4
21001,1070,1,ANDERLECHT,Brussels-Capital,Brussels,2024,houses_all,345604,182,4
21001,1070,1,ANDERLECHT,Brussels-Capital,Brussels,2025,houses_all,347289,201,4
21001,1070,1,ANDERLECHT,Brussels-Capital,Brussels,2010,houses_closed,231393,206,4
21001,1070,1,ANDERLECHT,Brussels-Capital,Brussels,2011,houses_closed,237194,196,4
21001,1070,1,ANDERLECHT,Brussels-Capital,Brussels,2012,houses_closed,252045,209,4
21001,1070,1,ANDERLECHT,Brussels-Capital,Brussels,2013,houses_closed,238588,182,4
21001,1070,1,ANDERLECHT,Brussels-Capital,Brussels,2014,houses_closed,242235,196,4
21001,1070,1,ANDERLECHT,Brussels-Capital,Brussels,2015,houses_closed,255526,190,4
21001,1070,1,ANDERLECHT,Brussels-Capital,Brussels,2016,houses_closed,264069,188,4
21001,1070,1,ANDERLECHT,Brussels-Capital,Brussels,2017,houses_closed,259701,211,4
21001,1070,1,ANDERLECHT,Brussels-Capital,Brussels,2018,houses_closed,264038,213,4
21001,1070,1,ANDERLECHT,Brussels-Capital,Brussels,2019,houses_closed,286392,250,4
21001,1070,1,ANDERLECHT,Brussels-Capital,Brussels,2020,houses_closed,301108,167,4
21001,1070,1,ANDERLECHT,Brussels-Capital,Brussels,2021,houses_closed,327471,227,4
21001,1070,1,ANDERLECHT,Brussels-Capital,Brussels,2022,houses_closed,331236,191,4
21001,1070,1,ANDERLECHT,Brussels-Capital,Brussels,2023,houses_closed,339576,198,4
21001,1070,1,ANDERLECHT,Brussels-Capital,Brussels,2024,houses_closed,345480,177,4
21001,1070,1,ANDERLECHT,Brussels-Capital,Brussels,2025,houses_closed,345330,193,4
21002,1160,1,AUDERGHEM,Brussels-Capital,Brussels,2010,apartments,181243,177,4
21002,1160,1,AUDERGHEM,Brussels-Capital,Brussels,2011,apartments,194353,184,4
21002,1160,1,AUDERGHEM,Brussels-Capital,Brussels,2012,apartments,217787,197,4
21002,1160,1,AUDERGHEM,Brussels-Capital,Brussels,2013,apartments,215691,186,4
21002,1160,1,AUDERGHEM,Brussels-Capital,Brussels,2014,apartments,231352,182,4
21002,1160,1,AUDERGHEM,Brussels-Capital,Brussels,2015,apartments,215738,187,4
21002,1160,1,AUDERGHEM,Brussels-Capital,Brussels,2016,apartments,223940,216,4
21002,1160,1,AUDERGHEM,Brussels-Capital,Brussels,2017,apartments,238663,184,4
21002,1160,1,AUDERGHEM,Brussels-Capital,Brussels,2018,apartments,238628,180,4
21002,1160,1,AUDERGHEM,Brussels-Capital,Brussels,2019,apartments,241705,234,4
21002,1160,1,AUDERGHEM,Brussels-Capital,Brussels,2020,apartments,278278,209,4
21002,1160,1,AUDERGHEM,Brussels-Capital,Brussels,2021,apartments,289029,273,4
21002,1160,1,AUDERGHEM,Brussels-Capital,Brussels,2022,apartments,295000,267,4
21002,1160,1,AUDERGHEM,Brussels-Capital,Brussels,2023,apartments,297328,224,4
21002,1160,1,AUDERGHEM,Brussels-Capital,Brussels,2024,apartments,310670,220,4
21002,1160,1,AUDERGHEM,Brussels-Capital,Brussels,2025,apartments,320878,262,4
21002,1160,1,AUDERGHEM,Brussels-Capital,Brussels,2010,houses_all,350270,148,4
21002,1160,1,AUDERGHEM,Brussels-Capital,Brussels,2011,houses_all,363310,113,4
21002,1160,1,AUDERGHEM,Brussels-Capital,Brussels,2012,houses_all,377500,132,4
21002,1160,1,AUDERGHEM,Brussels-Capital,Brussels,2013,houses_all,380647,139,4
21002,1160,1,AUDERGHEM,Brussels-Capital,Brussels,2014,houses_all,369843,159,4
21002,1160,1,AUDERGHEM,Brussels-Capital,Brussels,2015,houses_all,403249,167,4
21002,1160,1,AUDERGHEM,Brussels-Capital,Brussels,2016,houses_all,404652,135,4
21002,1160,1,AUDERGHEM,Brussels-Capital,Brussels,2017,houses_all,426643,140,4
21002,1160,1,AUDERGHEM,Brussels-Capital,Brussels,2018,houses_all,421267,146,4
21002,1160,1,AUDERGHEM,Brussels-Capital,Brussels,2019,houses_all,451226,168,4
21002,1160,1,AUDERGHEM,Brussels-Capital,Brussels,2020,houses_all,484034,145,4
21002,1160,1,AUDERGHEM,Brussels-Capital,Brussels,2021,houses_all,561558,165,4
21002,1160,1,AUDERGHEM,Brussels-Capital,Brussels,2022,houses_all,533839,155,4
21002,1160,1,AUDERGHEM,Brussels-Capital,Brussels,2023,houses_all,562970,133,4
21002,1160,1,AUDERGHEM,Brussels-Capital,Brussels,2024,houses_all,536839,155,4
21002,1160,1,AUDERGHEM,Brussels-Capital,Brussels,2025,houses_all,570057,141,4
21002,1160,1,AUDERGHEM,Brussels-Capital,Brussels,2010,houses_closed,343102,137,4
21002,1160,1,AUDERGHEM,Brussels-Capital,Brussels,2011,houses_closed,359500,105,4
21002,1160,1,AUDERGHEM,Brussels-Capital,Brussels,2012,houses_closed,364840,122,4
21002,1160,1,AUDERGHEM,Brussels-Capital,Brussels,2013,houses_closed,364180,128,4
21002,1160,1,AUDERGHEM,Brussels-Capital,Brussels,2014,houses_closed,367432,148,4
21002,1160,1,AUDERGHEM,Brussels-Capital,Brussels,2015,houses_closed,395096,154,4
21002,1160,1,AUDERGHEM,Brussels-Capital,Brussels,2016,houses_closed,392711,123,4
21002,1160,1,AUDERGHEM,Brussels-Capital,Brussels,2017,houses_closed,417638,130,4
21002,1160,1,AUDERGHEM,Brussels-Capital,Brussels,2018,houses_closed,416920,138,4
21002,1160,1,AUDERGHEM,Brussels-Capital,Brussels,2019,houses_closed,446122,156,4
21002,1160,1,AUDERGHEM,Brussels-Capital,Brussels,2020,houses_closed,481721,140,4
21002,1160,1,AUDERGHEM,Brussels-Capital,Brussels,2021,houses_closed,554092,157,4
21002,1160,1,AUDERGHEM,Brussels-Capital,Brussels,2022,houses_closed,530517,149,4
21002,1160,1,AUDERGHEM,Brussels-Capital,Brussels,2023,houses_closed,552912,125,4
21002,1160,1,AUDERGHEM,Brussels-Capital,Brussels,2024,houses_closed,525092,146,4
21002,1160,1,AUDERGHEM,Brussels-Capital,Brussels,2025,houses_closed,564508,132,4
21003,1082,1,BERCHEM-SAINTE-AGATHE,Brussels-Capital,Brussels,2010,apartments,148935,124,4
21003,1082,1,BERCHEM-SAINTE-AGATHE,Brussels-Capital,Brussels,2011,apartments,149991,137,4
21003,1082,1,BERCHEM-SAINTE-AGATHE,Brussels-Capital,Brussels,2012,apartments,152082,141,4
21003,1082,1,BERCHEM-SAINTE-AGATHE,Brussels-Capital,Brussels,2013,apartments,156646,127,4
21003,1082,1,BERCHEM-SAINTE-AGATHE,Brussels-Capital,Brussels,2014,apartments,149406,139,4
21003,1082,1,BERCHEM-SAINTE-AGATHE,Brussels-Capital,Brussels,2015,apartments,143137,130,4
21003,1082,1,BERCHEM-SAINTE-AGATHE,Brussels-Capital,Brussels,2016,apartments,163656,170,4
21003,1082,1,BERCHEM-SAINTE-AGATHE,Brussels-Capital,Brussels,2017,apartments,155609,156,4
21003,1082,1,BERCHEM-SAINTE-AGATHE,Brussels-Capital,Brussels,2018,apartments,172299,186,4
21003,1082,1,BERCHEM-SAINTE-AGATHE,Brussels-Capital,Brussels,2019,apartments,176484,159,4
21003,1082,1,BERCHEM-SAINTE-AGATHE,Brussels-Capital,Brussels,2020,apartments,187646,137,4
21003,1082,1,BERCHEM-SAINTE-AGATHE,Brussels-Capital,Brussels,2021,apartments,202465,184,4
21003,1082,1,BERCHEM-SAINTE-AGATHE,Brussels-Capital,Brussels,2022,apartments,209644,156,4
21003,1082,1,BERCHEM-SAINTE-AGATHE,Brussels-Capital,Brussels,2023,apartments,211841,170,4
21003,1082,1,BERCHEM-SAINTE-AGATHE,Brussels-Capital,Brussels,2024,apartments,219674,190,4
21003,1082,1,BERCHEM-SAINTE-AGATHE,Brussels-Capital,Brussels,2025,apartments,223520,151,4
21003,1082,1,BERCHEM-SAINTE-AGATHE,Brussels-Capital,Brussels,2010,houses_all,267234,77,4
21003,1082,1,BERCHEM-SAINTE-AGATHE,Brussels-Capital,Brussels,2011,houses_all,292067,75,4
21003,1082,1,BERCHEM-SAINTE-AGATHE,Brussels-Capital,Brussels,2012,houses_all,263750,57,1
21003,1082,1,BERCHEM-SAINTE-AGATHE,Brussels-Capital,Brussels,2013,houses_all,292983,73,3
21003,1082,1,BERCHEM-SAINTE-AGATHE,Brussels-Capital,Brussels,2014,houses_all,280913,78,3
21003,1082,1,BERCHEM-SAINTE-AGATHE,Brussels-Capital,Brussels,2015,houses_all,274527,64,3
21003,1082,1,BERCHEM-SAINTE-AGATHE,Brussels-Capital,Brussels,2016,houses_all,285657,99,4
21003,1082,1,BERCHEM-SAINTE-AGATHE,Brussels-Capital,Brussels,2017,houses_all,296944,99,4
21003,1082,1,BERCHEM-SAINTE-AGATHE,Brussels-Capital,Brussels,2018,houses_all,331478,82,3
21003,1082,1,BERCHEM-SAINTE-AGATHE,Brussels-Capital,Brussels,2019,houses_all,329667,75,4
21003,1082,1,BERCHEM-SAINTE-AGATHE,Brussels-Capital,Brussels,2020,houses_all,335250,57,2
21003,1082,1,BERCHEM-SAINTE-AGATHE,Brussels-Capital,Brussels,2021,houses_all,369734,94,4
21003,1082,1,BERCHEM-SAINTE-AGATHE,Brussels-Capital,Brussels,2022,houses_all,399756,90,4
21003,1082,1,BERCHEM-SAINTE-AGATHE,Brussels-Capital,Brussels,2023,houses_all,378825,90,4
21003,1082,1,BERCHEM-SAINTE-AGATHE,Brussels-Capital,Brussels,2024,houses_all,425000,62,1
21003,1082,1,BERCHEM-SAINTE-AGATHE,Brussels-Capital,Brussels,2025,houses_all,401780,91,4
21003,1082,1,BERCHEM-SAINTE-AGATHE,Brussels-Capital,Brussels,2010,houses_closed,266581,74,4
21003,1082,1,BERCHEM-SAINTE-AGATHE,Brussels-Capital,Brussels,2011,houses_closed,293621,73,3
