property_id,url,source,market
rbv47406,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/rbv47406,ImmoVlan,sale
rbv78623,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/rbv78623,ImmoVlan,sale
rbv88146,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/rbv88146,ImmoVlan,sale
rbv89458,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/rbv89458,ImmoVlan,sale
rbv89459,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/rbv89459,ImmoVlan,sale
rbv96350,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/rbv96350,ImmoVlan,sale
rbw01480,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/rbw01480,ImmoVlan,sale
rbw08875,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/rbw08875,ImmoVlan,sale
rbw08876,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/rbw08876,ImmoVlan,sale
rbw09183,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/rbw09183,ImmoVlan,sale
rbw09118,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/rbw09118,ImmoVlan,sale
rbw09723,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/rbw09723,ImmoVlan,sale
rbw09729,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/rbw09729,ImmoVlan,sale
rbw10677,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/rbw10677,ImmoVlan,sale
rbw12394,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/rbw12394,ImmoVlan,sale
rbw12650,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/rbw12650,ImmoVlan,sale
rbw10684,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/rbw10684,ImmoVlan,sale
rbw13378,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/rbw13378,ImmoVlan,sale
rbw13380,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/rbw13380,ImmoVlan,sale
rbw13656,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/rbw13656,ImmoVlan,sale
rbw18785,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/rbw18785,ImmoVlan,sale
rbw17483,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/rbw17483,ImmoVlan,sale
vaz65202,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vaz65202,ImmoVlan,sale
vaz65206,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vaz65206,ImmoVlan,sale
vaz65209,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vaz65209,ImmoVlan,sale
vaz65211,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vaz65211,ImmoVlan,sale
vaz65214,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vaz65214,ImmoVlan,sale
vaz65227,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vaz65227,ImmoVlan,sale
vaz65234,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vaz65234,ImmoVlan,sale
vaz65242,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vaz65242,ImmoVlan,sale
vaz65243,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vaz65243,ImmoVlan,sale
vbc88629,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbc88629,ImmoVlan,sale
vbd23358,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbd23358,ImmoVlan,sale
vbd41348,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbd41348,ImmoVlan,sale
vbd45264,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbd45264,ImmoVlan,sale
vbd76695,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbd76695,ImmoVlan,sale
vbd84746,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbd84746,ImmoVlan,sale
vbd84867,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbd84867,ImmoVlan,sale
vbd84872,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbd84872,ImmoVlan,sale
vbd84886,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbd84886,ImmoVlan,sale
vbd84898,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbd84898,ImmoVlan,sale
vbd84899,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbd84899,ImmoVlan,sale
vbd85456,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbd85456,ImmoVlan,sale
vbd85457,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbd85457,ImmoVlan,sale
vbd85459,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbd85459,ImmoVlan,sale
vbd89276,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbd89276,ImmoVlan,sale
vbd85503,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbd85503,ImmoVlan,sale
vbd93031,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbd93031,ImmoVlan,sale
vbd96912,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbd96912,ImmoVlan,sale
vbd97471,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbd97471,ImmoVlan,sale
vbd98413,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbd98413,ImmoVlan,sale
vbd98983,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbd98983,ImmoVlan,sale
vbe02837,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbe02837,ImmoVlan,sale
vbe04044,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbe04044,ImmoVlan,sale
vbe05749,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbe05749,ImmoVlan,sale
vbe05193,https://immovlan.be/en/detail/apartment/for-sale/1000/brussels/vbe05193,ImmoVlan,sale
