property_id,posting_date,property_type,category,transaction_type,new_construction,price,price_per_sqm,cadastral_income,street,postal_code,locality,province,region,latitude,longitude,bedrooms,livable_surface,kitchen_equipment,bathrooms,toilets,build_year,furnished,heating_type,glazing_type,solar_panels,air_conditioning,primary_energy_consumption,epc,electrical_certificate,facades,facade_orientation,garden,garden_surface,garden_orientation,terrace,terrace_surface,balcony,garage,garages,indoor_parking,outdoor_parking,cellar,swimming_pool,elevator,running_water,flooding_area_type,flood_g_score,flood_p_score,availability,building_state,land_surface,number_of_floors,apartment_floor,maintenance_cost,nearest_city,nearest_city_distance_km,certain_parking_space,has_parking
rbv40102,2026-03-05,flat,apartment,for-rent,0.0,955.0,13.26,,Avenue Louise,1000.0,Brussels,Brussels,Brussels,51.2037695,4.4112637,1.0,72.0,,1.0,1.0,,1.0,,Double glass,,0.0,169.0,D,,,,0.0,,,0.0,,0.0,,,,,,,1.0,,,,,,,,,4.0,,Antwerp,1.84,,False
rbv42400,2026-03-09,flat,apartment,for-rent,0.0,770.0,14.81,,Grand-Place,1000.0,Brussels,Brussels,Brussels,51.2037695,4.4112637,1.0,52.0,,1.0,1.0,,1.0,,Double glass,,0.0,173.0,D,,,,0.0,,,0.0,,0.0,,,,,,,1.0,,,,,,,,,3.0,,Antwerp,1.84,,False
rbv60224,2026-03-31,flat,apartment,for-rent,0.0,1490.0,48.06,,Boulevard du Régent,1000.0,Brussels,Brussels,Brussels,50.8390923,4.362643,,31.0,,,,,,,,,,,,,,,0.0,,,1.0,,1.0,,,,,,,,,,,,,,,,4.0,,Brussels,1.23,,False
rbv60216,2026-03-31,flat,apartment,for-rent,0.0,1600.0,55.17,,Quai à la Houille,1000.0,Brussels,Brussels,Brussels,50.8541333,4.3468775,,29.0,,,,,,,,,,,,,,,0.0,,,0.0,,0.0,,,,,,,,,,,,,,,,2.0,,Brussels,0.85,,False
rbv60222,2026-03-31,flat,apartment,for-rent,0.0,2100.0,36.21,,Quai à la Houille,1000.0,Brussels,Brussels,Brussels,50.8541333,4.3468775,,58.0,,,,,,,,,,,,,,,0.0,,,0.0,,0.0,,,,,,,,,,,,,,,,6.0,,Brussels,0.85,,False
rbv60205,2026-03-31,flat,apartment,for-rent,0.0,1500.0,51.72,,Quai à la Houille,1000.0,Brussels,Brussels,Brussels,50.8541333,4.3468775,,29.0,,,,,,,,,,,,,,,0.0,,,0.0,,0.0,,,,,,,,,,,,,,,,3.0,,Brussels,0.85,,False
rbv67654,2026-04-11,flat,apartment,for-rent,0.0,2550.0,15.94,,Place des Barricades,1000.0,Brussels,Brussels,Brussels,50.85093,4.367307,3.0,160.0,,2.0,2.0,2014.0,1.0,Gas,,,,112.0,C,1.0,2.0,,0.0,,,1.0,8.0,,1.0,,,,,,1.0,,,,,Immediately,Normal,,,2.0,,Brussels,1.31,,False
rbv72611,2026-04-19,flat,apartment,for-rent,0.0,1600.0,47.06,,Quai à la Houille,1000.0,Brussels,Brussels,Brussels,50.854353,4.3472459,,34.0,,,,,,,,,,,,,,,0.0,,,0.0,,0.0,,,,,,,,,,,,,,,,0.0,,Brussels,0.87,,False
rbv72612,2026-04-19,flat,apartment,for-rent,0.0,1650.0,51.56,,Quai à la Houille,1000.0,Brussels,Brussels,Brussels,50.854353,4.3472459,,32.0,,,,,,,,,,,,,,,0.0,,,0.0,,0.0,,,,,,,,,,,,,,,,2.0,,Brussels,0.87,,False
rbv81073,2026-05-01,flat,apartment,for-rent,0.0,1650.0,48.53,,Quai à la Houille,1000.0,Brussels,Brussels,Brussels,50.854353,4.3472459,,34.0,,,,,,,,,,,,,,,0.0,,,0.0,,0.0,,,,,,,,,,,,,,,,2.0,,Brussels,0.87,,False
