property_id,posting_date,property_type,category,transaction_type,new_construction,price,price_per_sqm,cadastral_income,street,postal_code,locality,province,region,latitude,longitude,bedrooms,livable_surface,kitchen_equipment,bathrooms,toilets,build_year,furnished,heating_type,glazing_type,solar_panels,air_conditioning,primary_energy_consumption,epc,electrical_certificate,facades,facade_orientation,garden,garden_surface,garden_orientation,terrace,terrace_surface,balcony,garage,garages,indoor_parking,outdoor_parking,cellar,swimming_pool,elevator,running_water,flooding_area_type,flood_g_score,flood_p_score,availability,building_state,land_surface,number_of_floors,apartment_floor,maintenance_cost,nearest_city,nearest_city_distance_km,certain_parking_space,has_parking
rbv47406,2026-03-16,flat,apartment,for-sale,0.0,849000.0,9988.24,,Kreupelenstraat,1000.0,Brussels,Brussels,Brussels,50.8506724,4.3562902,2.0,85.0,Super equipped,2.0,2.0,,,Gas,Double glass,,,50.0,B,1.0,,,1.0,,,1.0,27.0,,1.0,,,,1.0,,1.0,,,,,On contract,,,,4.0,,Brussels,0.63,,False
rbv78623,2026-04-27,flat,apartment,for-sale,0.0,369000.0,,,RUE DES RICHES CLAIRES,1000.0,Brussels,Brussels,Brussels,50.84684,4.34721,3.0,0.0,,1.0,1.0,1889.0,,,Double glass,0.0,0.0,360.0,G,1.0,2.0,North,0.0,,,0.0,,1.0,,,,,1.0,,1.0,1.0,,,,Immediately,Normal,,5.0,2.0,,Brussels,0.19,,False
rbv88146,2026-05-12,flat,apartment,for-sale,0.0,198000.0,3245.9,920.0,NEGENDE LINIELAAN,1000.0,Brussels,Brussels,Brussels,50.85698,4.345417,1.0,61.0,,1.0,1.0,2013.0,1.0,Electricity,,,,185.0,D,1.0,2.0,,0.0,,,1.0,2.0,,1.0,1.0,,,,,1.0,1.0,possible flooding area,,,On contract,Normal,,7.0,5.0,,Brussels,1.19,,False
rbv89458,2026-05-15,flat,apartment,for-sale,0.0,525000.0,6481.48,,Rue Antoine Dansaert,1000.0,Brussels,Brussels,Brussels,50.8501582,4.34601397,2.0,81.0,,1.0,1.0,,0.0,Gas,,,,186.0,D,1.0,2.0,,0.0,,,0.0,,,,,,,,,0.0,,,,,,Normal,,4.0,4.0,,Brussels,0.47,,False
rbv89459,2026-05-15,flat,apartment,for-sale,0.0,545000.0,6728.4,,Rue Antoine Dansaert,1000.0,Brussels,Brussels,Brussels,50.8501582,4.34601397,2.0,81.0,,1.0,1.0,,0.0,Gas,,,,181.0,D,1.0,2.0,,0.0,,,1.0,2.0,,,,,,,,0.0,,,,,,Normal,,4.0,3.0,,Brussels,0.47,,False
rbv96350,2026-05-22,flat,apartment,for-sale,0.0,895000.0,3129.37,2129.0,PAVIASTRAAT,1000.0,Brussels,Brussels,Brussels,50.8481018,4.38330388,6.0,286.0,,4.0,4.0,1918.0,0.0,Gas,,,,218.0,E,0.0,2.0,East,1.0,,,1.0,39.0,,,,,,,,0.0,1.0,no flooding area,,,,To be renovated,,5.0,,,Brussels,2.35,,False
rbw01480,2026-05-26,flat,apartment,for-sale,0.0,119000.0,1586.67,1028.0,Diksmuidelaan,1000.0,Brussels,Brussels,Brussels,50.8568851,4.3454196,2.0,75.0,,1.0,1.0,2011.0,0.0,Gas,,,,233.0,E,0.0,,North,0.0,,,1.0,,,1.0,,,,,,1.0,,,,,Negotiable,Normal,,,1.0,,Brussels,1.18,,False
rbw08875,2026-06-01,flat,apartment,for-sale,1.0,395000.0,3291.67,616.0,Rue des Patriotes,1000.0,Brussels,Brussels,Brussels,50.8469517,4.3876671,2.0,120.0,Super equipped,2.0,2.0,2013.0,1.0,Gas,Double glass,,,246.0,E,1.0,2.0,,,,,,,,,,,,0.0,,0.0,1.0,no flooding area,,,On contract,New,,2.0,0.0,,Brussels,2.65,,False
rbw08876,2026-06-01,flat,apartment,for-sale,0.0,495000.0,4626.17,2202.0,Rue du Commerce,1000.0,Brussels,Brussels,Brussels,50.8431257,4.3687554,2.0,107.0,Super equipped,2.0,2.0,2019.0,1.0,Gas,Double glass,,,120.0,C,1.0,2.0,,,,,1.0,,,,,1.0,,1.0,,1.0,1.0,no flooding area,,,On contract,Excellent,,3.0,,,Brussels,1.38,True,True
rbw09183,2026-06-01,flat,apartment,for-sale,0.0,269800.0,6423.81,906.0,Allée Verte,1000.0,Brussels,Brussels,Brussels,50.8631471,4.3540198,1.0,42.0,,1.0,1.0,,1.0,Gas,,,,136.0,C,0.0,,West,,,,,,,,,,,,,1.0,,no flooding area,,,Negotiable,Normal,,,,,Brussels,1.85,,False
rbw09118,2026-06-01,flat,apartment,for-sale,0.0,275000.0,2925.53,1222.0,Avenue de l'Héliport,1000.0,Brussels,Brussels,Brussels,50.8596172,4.3512929,3.0,94.0,Super equipped,1.0,2.0,1973.0,0.0,Gas,Double glass,,0.0,114.0,C,0.0,2.0,,,,,1.0,13.0,1.0,,,,,,,1.0,1.0,no flooding area,,,On contract,Normal,,15.0,5.0,250.0,Brussels,1.44,,False
rbw09723,2026-06-02,flat,apartment,for-sale,0.0,845000.0,3967.14,,,1000.0,Brussels,Brussels,Brussels,50.8427501,4.3515499,3.0,213.0,Fully equipped,3.0,3.0,1977.0,0.0,Gas,Double glass,,,116.0,C,0.0,3.0,,,,,1.0,15.0,,,,2.0,,1.0,,1.0,1.0,no flooding area,,,On contract,Excellent,,4.0,2.0,650.0,Brussels,0.45,True,True
