livable_surface,bedrooms,bathrooms,toilets,build_year,facades,number_of_floors,primary_energy_consumption,land_surface,latitude,longitude,nearest_city_distance_km,property_type,province,region,epc,building_state,kitchen_equipment,heating_type,new_construction,furnished,terrace,garden,swimming_pool,elevator,cellar,solar_panels,air_conditioning,has_parking,price,neighbourhood_price_index
,,,,,,,,,50.8313277,4.3736687,2.39,flat,Brussels,Brussels,,,,,0,1,0,0,0,0,0,0,0,0,1100.0,82.5
30.0,,,,,,,,,50.8462619,4.3471153,,flat,Brussels,Brussels,,,,,0,0,0,0,0,0,0,0,0,0,1650.0,96.4
190.0,4.0,2.0,,,,,,,50.8147997,4.4274669,,house,Brussels,Brussels,F,,,,0,0,0,0,0,0,0,0,0,0,2600.0,76.0
88.0,2.0,1.0,,,,,,,51.0872197,3.4497243,,flat,East Flanders,Flanders,A,,,,0,0,0,0,0,0,0,0,0,0,875.0,14.1
41.0,1.0,1.0,,,,,,,50.8066389,4.3345961,,flat,Brussels,Brussels,,,,,0,0,0,0,0,0,0,0,0,0,790.0,76.3
60.0,1.0,,1.0,,,2.0,134.0,,50.8788137,4.3417035,3.62,flat,Brussels,Brussels,C,New,Super equipped,Gas,1,0,0,0,0,0,0,0,0,0,1150.0,65.6
80.0,2.0,1.0,,,,,,,50.8797409,4.4026636,,flat,Brussels,Brussels,C,,,,0,0,0,0,0,0,0,0,0,0,1700.0,89.0
250.0,3.0,1.0,3.0,,2.0,3.0,,,50.84785,4.37328,1.65,flat,Brussels,Brussels,,,,Gas,0,0,1,0,0,1,0,0,0,0,2300.0,69.3
50.0,1.0,1.0,,,,,,,51.19764,4.422509,,flat,Antwerp,Flanders,B,,,,0,0,0,0,0,0,0,0,0,0,745.0,69.7
,,,,,,,,,50.8569283,4.3465317,1.16,flat,Brussels,Brussels,,,,,0,1,1,0,0,0,0,0,1,0,1360.0,87.0
177.0,3.0,1.0,1.0,,2.0,,222.0,,50.8692687,4.315106399999999,,house,Brussels,Brussels,E,,Partially equipped,Gas,0,0,0,1,0,0,1,0,0,0,1450.0,66.9
92.0,2.0,,1.0,,,,,,50.8300009,4.314716,3.09,flat,Brussels,Brussels,,New,,Hot air,1,0,1,0,0,0,0,0,0,0,1550.0,64.9
,3.0,1.0,2.0,,2.0,2.0,231.0,,50.8084174,4.4383633,,house,Brussels,Brussels,E,B,Fully equipped,,0,0,1,1,0,0,0,0,0,0,1850.0,70.3
95.0,2.0,1.0,2.0,2026.0,4.0,3.0,,,50.6121969,5.5895728,,flat,Liège,Wallonie,A+,A,,,0,0,1,1,0,1,0,0,0,1,1200.0,22.7
