livable_surface,bedrooms,bathrooms,toilets,build_year,facades,number_of_floors,primary_energy_consumption,land_surface,latitude,longitude,nearest_city_distance_km,property_type,province,region,epc,building_state,kitchen_equipment,heating_type,new_construction,furnished,terrace,garden,swimming_pool,elevator,cellar,solar_panels,air_conditioning,has_parking,price,neighbourhood_price_index
150.0,2.0,1.0,1.0,,3.0,2.0,643.0,478.0,50.570005,5.6448777,9.76,house,Liège,Wallonia,G,Excellent,Fully equipped,,0,0,1,1,0,0,1,0,0,0,329900.0,53.4
60.0,1.0,1.0,,,,,,,50.8379518,4.3476739,,flat,Brussels,Brussels,E,,,,0,0,0,0,0,0,0,0,0,0,235000.0,68.6
214.0,3.0,2.0,,2012.0,,,,,50.2819874,6.1306294,39.27,duplex,Liège,Wallonia,,,,,0,0,1,0,0,1,0,0,0,1,698000.0,24.4
75.0,2.0,1.0,,1972.0,,14.0,197.0,,50.8122009,4.4143207,5.93,flat,Brussels,Brussels,D,Normal,Fully equipped,Gas,0,0,1,0,0,1,1,0,0,0,289000.0,81.5
134.0,3.0,1.0,,,,,,,50.4214468,6.0132077,,flat,Liège,Wallonia,,,,,0,0,0,0,0,0,0,0,0,0,501000.0,68.8
95.0,2.0,1.0,1.0,1940.0,2.0,2.0,291.0,,50.90577,4.313288,7.05,flat,Flemish Brabant,Flanders,C,To be renovated,,Gas,0,0,1,0,0,0,0,0,0,0,235000.0,63.4
90.0,3.0,2.0,,,,,,,51.353982,3.292118,,flat,West Flanders,Flanders,B,,,,0,0,0,0,0,0,0,0,0,0,1495000.0,99.1
215.0,4.0,2.0,2.0,1990.0,,5.0,138.0,,50.8050352,4.4342167,7.52,flat,Brussels,Brussels,C,To renovate,Super equipped,,0,0,1,0,0,1,1,0,0,1,749000.0,93.2
263.0,6.0,2.0,,,,,,,50.8446282,4.3950076,,house,Brussels,Brussels,G,,,,0,0,0,0,0,0,0,0,0,0,598000.0,81.4
158.0,4.0,1.0,1.0,2004.0,4.0,,399.0,829.0,49.5822465,5.7588053,27.09,house,Luxembourg,Wallonia,E,Normal,,Electricity,0,0,0,0,0,0,0,0,0,1,475000.0,38.5
125.0,3.0,1.0,1.0,,,,597.0,,50.88442,3.89365,11.78,house,East Flanders,Flanders,F,To be renovated,,,0,0,1,1,0,0,0,0,0,0,115000.0,16.1
231.0,4.0,0.0,2.0,2007.0,2.0,3.0,165.0,93.0,51.2310349,3.7519123,,house,East Flanders,Flanders,B,,,,0,0,1,0,0,0,0,0,0,0,458000.0,38.7
139.0,2.0,1.0,,,,,,,51.2464,4.063708,,house,East Flanders,Flanders,F,,,,0,0,0,0,0,0,0,0,0,0,250000.0,31.5
49.0,1.0,1.0,1.0,,2.0,3.0,273.0,,50.6502455,5.5873736,1.14,flat,Liège,Wallonia,D,Normal,,Gas,0,0,0,0,0,0,0,0,0,0,95000.0,26.1
,2.0,1.0,1.0,,3.0,,472.0,480.0,50.4570467,4.034631,5.55,house,Hainaut,Wallonia,F,,,Gas,0,0,0,1,0,0,0,0,0,0,147500.0,27.7
30.0,1.0,1.0,,,,,,,50.6394394,5.5854796,,flatStudio,Liège,Wallonia,B,,,,0,0,0,0,0,0,0,0,0,0,79000.0,23.6
54.0,1.0,1.0,1.0,,2.0,,133.0,,50.6056059,3.3880367,0.19,flat,Hainaut,Wallonia,B,Normal,Partially equipped,Gas,0,0,1,0,0,0,0,0,0,0,119000.0,54.3
434.0,9.0,9.0,,,,,,,50.8232014,4.3567429,,house,Brussels,Brussels,C,,,,0,0,0,0,0,0,0,0,0,0,1750000.0,88.1
104.0,2.0,3.0,,,,,,,50.85229,4.4418,,flat,Brussels,Brussels,B,,,,0,0,0,0,0,0,0,0,0,0,502000.0,90.1
69.0,1.0,1.0,1.0,,2.0,,836.0,35.0,50.6195255,5.6060428,3.66,house,Liège,Wallonia,G,Normal,Partially equipped,Hot air,0,0,0,0,0,0,1,0,1,0,120000.0,17.9
,2.0,1.0,,1972.0,,4.0,,,50.8828874,4.3376258,,flat,Brussels,Brussels,C,B,Fully equipped,Gas,0,0,1,0,0,1,1,0,0,1,229000.0,49.0
128.0,3.0,1.0,,,,,,,50.5800659,5.5087036,,flat,Liège,Wallonia,A,,,,0,0,0,0,0,0,0,0,0,0,287500.0,36.1
118.0,3.0,2.0,,,,,,,50.7931195,4.3288245,,groundFloor,Brussels,Brussels,B,,,,0,0,0,0,0,0,0,0,0,0,490000.0,85.8
319.0,3.0,1.0,,,,,,,51.04252,5.104451,,house,Flemish Brabant,Flanders,C,,,,0,0,0,0,0,0,0,0,0,0,635000.0,37.1
89.0,2.0,,,2027.0,,3.0,,,50.4688896,4.4322027,6.52,flat,Hainaut,Wallonia,,,,,1,0,1,1,0,0,0,0,0,0,246000.0,47.4
,2.0,,,,,,,,50.4149835,4.1864786,,house,Hainaut,Wallonia,D,,,,0,0,0,0,0,0,0,0,0,0,90000.0,16.5
240.0,4.0,4.0,,,,,,,50.4736583,5.7396407,,villa,Liège,Wallonia,B,,,,0,0,0,0,0,0,0,0,0,0,845000.0,9.4
200.0,2.0,1.0,1.0,,,,513.0,,50.0908293,5.6808856,56.27,house,Luxembourg,Wallonia,G,,,,0,0,0,0,0,0,0,0,0,0,295000.0,26.6
100.0,2.0,1.0,,,,,,,50.4431513,4.3972733,,flat,Hainaut,Wallonia,D,,,,0,0,0,0,0,0,0,0,0,0,199000.0,5.1
116.0,3.0,1.0,1.0,,2.0,3.0,3.0,,50.6161775,5.5033014,3.63,flat,Liège,Wallonia,A+,New,Fully equipped,,1,0,1,0,0,1,0,1,0,0,276000.0,53.0
200.0,4.0,,,,,,,,50.9203853,5.2628854,,house,Limburg,Flanders,,,,,0,0,0,0,0,0,0,0,0,0,675000.0,67.5
140.0,3.0,1.0,,,,,,,51.199675,3.208403,,flat,West Flanders,Flanders,,,,,0,0,0,0,0,0,0,0,0,0,329000.0,71.2
257.0,4.0,2.0,,1980.0,,,295.0,4790.0,50.6593753,5.3050988,16.16,house,Liège,Wallonia,D,To be renovated,,Wood,0,0,0,1,0,0,1,0,0,0,699000.0,22.8
,3.0,,,,,,,,50.6611874,5.6515622,,house,Liège,Wallonia,D,,,,0,0,0,0,0,0,0,0,0,0,130000.0,11.4
125.0,1.0,1.0,1.0,,,,196.0,,51.06031,4.577756,7.71,groundFloor,Antwerp,Flanders,B,Excellent,,Gas,0,0,0,1,0,0,0,0,0,0,378000.0,58.3
133.0,3.0,,,,,,,,50.7785883,5.6931844,,house,Liège,Wallonia,D,,,,0,0,0,0,0,0,0,0,0,0,259000.0,20.0
71.0,2.0,,,,,,,130.0,50.3893428,4.51597481,5.59,house,Hainaut,Wallonia,,,,,0,0,0,0,0,0,0,0,0,0,119000.0,8.1
359.0,3.0,1.0,1.0,2005.0,4.0,1.0,663.0,5499.0,51.0339503,3.6460762,,bungalow,East Flanders,Flanders,F,B,,Fuel oil,0,0,0,0,0,0,0,0,0,1,1173000.0,89.2
95.0,2.0,1.0,1.0,,,,115.0,,50.4856889,4.159113,,flat,Hainaut,Wallonie,A,B,,Gas,0,0,0,0,0,1,0,0,0,0,139000.0,10.6
110.0,2.0,,,,,,,,50.569689,4.061821,,flat,Hainaut,Wallonia,A,,,,0,0,0,0,0,0,0,0,0,0,297000.0,48.2
161.0,3.0,1.0,2.0,2009.0,,,22.0,,51.1565173,3.1959986,6.2,flat,West Flanders,Flanders,A,,,,0,0,1,0,0,0,0,0,0,0,675000.0,58.5
40.0,2.0,1.0,1.0,2006.0,4.0,,,275.0,50.2167563,4.814052999999999,,house,Namur,Wallonie,,B,Fully equipped,Wood,0,0,1,1,0,0,0,0,0,1,110000.0,32.6
245.0,4.0,2.0,,,2.0,,226.0,255.0,50.408662,3.8593943,8.53,house,Hainaut,Wallonia,C,Normal,Fully equipped,Gas,0,0,1,1,0,0,1,0,0,0,180000.0,5.7
